iter	Passed	Remaining
399	48056	72084
400	48162	71943
401	48284	71826
402	48392	71688
403	48551	71625
404	48710	71562
405	48867	71496
406	49026	71432
407	49177	71355
408	49344	71301
409	49481	71205
410	49652	71157
411	49788	71056
412	49915	70945
413	50036	70823
414	50173	70726
415	50323	70646
416	50487	70585
417	50640	70509
418	50795	70434
419	50908	70301
420	51035	70188
421	51176	70095
422	51305	69983
423	51430	69867
424	51556	69752
425	51693	69653
426	51905	69653
427	52081	69604
428	52276	69579
429	52430	69501
430	52625	69475
431	52771	69384
432	52916	69292
433	53076	69220
434	53190	69087
435	53292	68938
436	53419	68822
437	53556	68718
438	53683	68602
439	53802	68476
440	53962	68401
441	54103	68302
442	54238	68196
443	54378	68095
444	54520	67997
445	54620	67846
446	54750	67733
447	54876	67615
448	55011	67508
449	55183	67446
450	55363	67393
451	55537	67333
452	55676	67229
453	55821	67133
454	55964	67034
455	56116	66946
456	56254	66840
457	56390	66732
458	56494	66586
459	56593	66436
460	56707	66302
461	56832	66181
462	56964	66068
463	57086	65944
464	57198	65809
465	57322	65687
466	57429	65545
467	57527	65394
468	57629	65247
469	57740	65111
470	57860	64986
471	57982	64861
472	58094	64726
473	58219	64606
474	58358	64501
475	58512	64412
476	58684	64343
477	58834	64250
478	58984	64156
479	59133	64061
480	59246	63927
481	59372	63807
482	59475	63662
483	59590	63530
484	59722	63416
485	59855	63303
486	59963	63164
487	60085	63040
488	60200	62908
489	60348	62812
490	60466	62682
491	60611	62583
492	60735	62460
493	60856	62335
494	60977	62209
495	61108	62093
496	61237	61977
497	61367	61860
498	61502	61749
499	61656	61656
500	61809	61563
501	61970	61476
502	62119	61378
503	62239	61251
504	62384	61149
505	62525	61042
506	62654	60924
507	62783	60806
508	62922	60697
509	63069	60596
510	63195	60474
511	63319	60351
512	63443	60227
513	63572	60109
514	63689	59979
515	63809	59852
516	63960	59754
517	64107	59651
518	64232	59529
519	64354	59404
520	64460	59263
521	64582	59138
522	64710	59018
523	64834	58895
524	65005	58814
525	65180	58736
526	65350	58654
527	65490	58544
528	65636	58439
529	65835	58382
530	65961	58259
531	66108	58155
532	66243	58040
533	66352	57903
534	66465	57769
535	66582	57638
536	66702	57510
537	66804	57367
538	66929	57243
539	67078	57141
540	67222	57033
541	67333	56898
542	67453	56769
543	67553	56625
544	67664	56490
545	67769	56350
546	67911	56240
547	68048	56127
548	68188	56016
549	68343	55917
550	68496	55816
551	68685	55744
552	68881	55677
553	69043	55583
554	69200	55485
555	69351	55381
556	69465	55248
557	69583	55118
558	69699	54986
559	69815	54854
560	69962	54747
561	70101	54633
562	70263	54538
563	70408	54429
564	70517	54292
565	70627	54155
566	70741	54023
567	70844	53881
568	70960	53750
569	71073	53616
570	71185	53482
571	71299	53350
572	71441	53238
573	71610	53146
574	71778	53053
575	71944	52959
576	72095	52853
577	72237	52740
578	72365	52617
579	72494	52495
580	72633	52380
581	72758	52255
582	72881	52129
583	73025	52018
584	73177	51912
585	73307	51790
586	73431	51664
587	73553	51537
588	73660	51399
589	73777	51269
590	73903	51144
591	74035	51024
592	74149	50891
593	74268	50762
594	74408	50647
595	74575	50550
596	74737	50451
597	74940	50378
598	75112	50284
599	75261	50174
600	75403	50060
601	75529	49934
602	75654	49808
603	75781	49684
604	75892	49549
605	76027	49430
606	76150	49303
607	76287	49185
608	76421	49065
609	76550	48942
610	76678	48818
611	76817	48701
612	76951	48581
613	77089	48463
614	77227	48345
615	77385	48240
616	77533	48128
617	77682	48017
618	77846	47915
619	77981	47794
620	78150	47695
621	78294	47581
622	78441	47467
623	78584	47352
624	78746	47247
625	78901	47139
626	79067	47036
627	79227	46930
628	79380	46820
629	79525	46705
630	79657	46582
631	79830	46483
632	79998	46381
633	80131	46259
634	80270	46139
635	80414	46023
636	80535	45894
637	80676	45775
638	80808	45652
639	80956	45537
640	81107	45425
641	81255	45310
642	81407	45198
643	81544	45077
644	81720	44977
645	81889	44874
646	82055	44769
647	82201	44652
648	82385	44556
649	82518	44432
650	82638	44302
651	82764	44175
652	82865	44034
653	82979	43900
654	83112	43776
655	83218	43638
656	83349	43514
657	83461	43379
658	83567	43241
659	83671	43103
660	83813	42984
661	83928	42851
662	84048	42721
663	84161	42587
664	84275	42454
665	84390	42322
666	84535	42204
667	84695	42093
668	84847	41979
669	85000	41866
670	85142	41746
671	85315	41642
672	85500	41543
673	85677	41440
674	85816	41318
675	85923	41182
676	86038	41049
677	86154	40917
678	86252	40776
679	86355	40637
680	86481	40510
681	86596	40377
682	86715	40247
683	86843	40120
684	86989	40002
685	87127	39880
686	87241	39747
687	87358	39615
688	87480	39486
689	87620	39365
690	87759	39244
